@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 {0,1,2,3}

@data
78,'2016/04/11 13:12:47:634',4,0,0,680.871521,0,0,0,0,1
79,'2016/04/11 13:12:47:779',4,0,0,709.661865,0,0,0,0,1
80,'2016/04/11 13:12:47:918',4,0,0,845.851624,0,0,0,0,1
81,'2016/04/11 13:12:48:065',4,0,0,0,0,0,0,0,1
82,'2016/04/11 13:12:48:215',4,0,0,0,0,0,0,0,1
83,'2016/04/11 13:12:48:374',4,0,0,705.39209,0,0,0,0,1
84,'2016/04/11 13:12:48:529',4,0,0,1477.59436,0,0,0,0,1
85,'2016/04/11 13:12:48:683',4,0,0,1663.88855,0,0,0,0,1
86,'2016/04/11 13:12:48:845',4,0,0,1665.305054,0,0,0,0,1
87,'2016/04/11 13:12:48:989',4,0,0,1667.742188,0,0,0,0,1
88,'2016/04/11 13:12:49:142',4,0,0,1545.163452,0,0,0,0,1
89,'2016/04/11 13:12:49:285',4,0,0,1639.289185,0,0,0,0,1
90,'2016/04/11 13:12:49:437',4,0,0,1533.944214,0,0,0,0,1
91,'2016/04/11 13:12:49:586',4,0,0,1652.320801,0,0,0,0,1
92,'2016/04/11 13:12:49:741',4,0,0,1486.091797,0,0,0,0,1
93,'2016/04/11 13:12:49:890',4,0,0,1463.74353,0,0,0,0,1
94,'2016/04/11 13:12:50:045',4,0,0,1691.486938,0,0,0,0,1
95,'2016/04/11 13:12:50:196',4,0,0,1699.742676,0,0,0,0,1
96,'2016/04/11 13:12:50:345',4,0,0,934.537842,0,0,0,0,1
97,'2016/04/11 13:12:50:488',4,0,0,963.282898,0,0,0,0,1
98,'2016/04/11 13:12:50:639',4,0,0,1852.679199,0,0,0,0,1
99,'2016/04/11 13:12:50:790',4,0,0,1863.52063,0,0,0,0,1
100,'2016/04/11 13:12:50:938',4,0,0,1850.612061,0,0,0,0,1
101,'2016/04/11 13:12:51:090',4,0,0,1811.546631,0,0,0,0,1
102,'2016/04/11 13:12:51:237',4,0,0,939.004272,0,0,0,0,1
103,'2016/04/11 13:12:51:389',4,0,0,1661.984375,0,0,0,0,1
104,'2016/04/11 13:12:51:546',4,0,0,1585.373779,0,0,0,0,1
105,'2016/04/11 13:12:51:699',4,0,0,1298.904541,0,0,0,0,1
106,'2016/04/11 13:12:51:846',4,0,0,1262.240112,0,0,0,0,1
107,'2016/04/11 13:12:51:993',4,0,0,1373.120483,0,0,0,0,1
108,'2016/04/11 13:12:52:148',4,0,0,1348.015625,0,0,0,0,1
109,'2016/04/11 13:12:52:303',4,0,0,1336.489746,0,0,0,0,1
110,'2016/04/11 13:12:52:451',4,0,0,1341.976563,0,0,0,0,1
111,'2016/04/11 13:12:52:597',4,0,0,1346.614258,0,0,0,0,1
112,'2016/04/11 13:12:56:168',5,0,0,1609.178955,0,0,0,0,3
113,'2016/04/11 13:12:56:327',5,0,0,1637.243164,0,0,0,0,3
114,'2016/04/11 13:12:56:484',5,0,0,1637.659668,0,0,0,0,3
115,'2016/04/11 13:12:56:645',5,0,0,1643.481934,0,0,0,0,3
116,'2016/04/11 13:12:56:791',5,0,0,1663.465332,0,0,0,0,3
117,'2016/04/11 13:12:56:934',5,0,0,1782.623047,0,0,0,0,3
118,'2016/04/11 13:12:57:089',5,0,0,1867.278809,0,0,0,0,3
119,'2016/04/11 13:12:57:236',5,0,0,1913.435913,0,0,0,0,3
120,'2016/04/11 13:12:57:389',5,0,0,1913.760742,0,0,0,0,3
121,'2016/04/11 13:12:57:537',5,0,0,1882.392334,0,0,0,0,3
122,'2016/04/11 13:12:57:685',5,0,0,1820.401367,0,0,0,0,3
123,'2016/04/11 13:12:57:833',5,0,0,1654.907837,0,0,0,0,3
124,'2016/04/11 13:12:57:983',5,0,0,1219.672852,0,0,0,0,3
125,'2016/04/11 13:12:58:138',5,0,0,1441.046875,0,0,0,0,3
126,'2016/04/11 13:12:58:287',5,0,0,1355.18335,0,0,0,0,3
127,'2016/04/11 13:12:58:438',5,0,0,1256.452515,0,0,0,0,3
128,'2016/04/11 13:12:58:590',5,0,0,1196.824097,0,0,0,0,3
129,'2016/04/11 13:12:58:745',5,0,0,1148.768433,0,0,0,0,3
130,'2016/04/11 13:12:58:900',5,0,0,1117.64978,0,0,0,0,3
131,'2016/04/11 13:12:59:064',5,0,0,1092.257324,0,0,0,0,3
132,'2016/04/11 13:12:59:212',5,0,0,1103.591431,0,0,0,0,3
133,'2016/04/11 13:12:59:359',5,0,0,1140.616089,0,0,0,0,3
134,'2016/04/11 13:12:59:511',5,0,0,1202.871948,0,0,0,0,3
135,'2016/04/11 13:12:59:660',5,0,0,1317.249023,0,0,0,0,3
136,'2016/04/11 13:12:59:810',5,0,0,1059.344116,0,0,0,0,3
137,'2016/04/11 13:12:59:967',5,0,0,1514.775879,0,0,0,0,3
